"User-ID";"Location";"Age"
"1";"nyc, new york, usa";NULL
"2";"stockton, california, usa";"18"
"3";"moscow, yukon territory, russia";NULL
"4";"porto, v.n.gaia, portugal";"17"
"5";"farnborough, hants, united kingdom";NULL
"6";"santa monica, california, usa";"61"
"7";"washington, dc, usa";NULL
"8";"timmins, ontario, canada";NULL
"9";"germantown, tennessee, usa";NULL
"10";"albacete, wisconsin, spain";"26"
"11";"melbourne, victoria, australia";"14"
"12";"fort bragg, california, usa";NULL
"13";"barcelona, barcelona, spain";"26"
"14";"mediapolis, iowa, usa";NULL
"15";"calgary, alberta, canada";NULL
"16";"albuquerque, new mexico, usa";NULL
"17";"chesapeake, virginia, usa";NULL
"18";"rio de janeiro, rio de janeiro, brazil";"25"
"19";"weston, ,";"14"
"20";"langhorne, pennsylvania, usa";"19"
"21";"ferrol / spain, alabama, spain";"46"
"22";"erfurt, thueringen, germany";NULL
"23";"philadelphia, pennsylvania, usa";NULL
"24";"cologne, nrw, germany";"19"
"25";"oakland, california, usa";"55"
"26";"bellevue, washington, usa";NULL
"27";"chicago, illinois, usa";"32"
"28";"freiburg, baden-wuerttemberg, germany";"24"
"29";"cuernavaca, alabama, mexico";"19"
"30";"anchorage, alaska, usa";"24"
"31";"shanghai, n/a, china";"20"
"32";"portland, oregon, usa";NULL
"33";"costa mesa, california, usa";"34"
"34";"london, england, united kingdom";NULL
"35";"grafton, wisconsin, usa";"17"
"36";"montreal, quebec, canada";"24"
"37";"san sebastian, n/a, spain";"23"
"38";"viterbo, lazio, italy";"34"
"39";"cary, north carolina, usa";NULL
"40";"tonawanda, new york, usa";"32"
"41";"santee, california, usa";"14"
"42";"appleton, wisconsin, usa";"17"